Ingredient	Volume	Ounces	Grams
'00' Pizza Flour	1 cup	4	116
Agave syrup	1/4 cup	3	84
All-Purpose Baking Mix	1 cup	4 1/4	120
All-Purpose Flour	1 cup	4 1/4	120
Almond butter	1/4 cup	2 1/3	68
Almond Flour	1 cup	3 3/8	96
Almond meal	1 cup	3	84
Almond paste (packed)	1 cup	9 1/8	259
Almonds (sliced)	1/2 cup	1 1/2	43
Almonds (slivered)	1/2 cup	2	57
Almonds, whole (unblanched)	1 cup	5	142
Amaranth flour	1 cup	3 5/8	103
Apple juice concentrate	1/4 cup	2 1/2	70
Apples (dried, diced)	1 cup	3	85
Apples (peeled, sliced)	1 cup	4	113
Applesauce	1 cup	9	255
Apricots (dried, diced)	1/2 cup	2 1/4	64
Artisan Bread Flour	1 cup	4 1/4	120
Artisan Bread Topping	1/4 cup	1 1/2	43
Baker's Cinnamon Filling	1 cup	5 3/8	152
Baker's Fruit Blend	1 cup	4 1/2	128
Baker's Special Sugar (superfine sugar, castor sugar)	1 cup	6 3/4	190
Baking powder	1 tea­spoon	1/8	4
Baking soda	1/2 tea­spoon	1/10	3
Baking Sugar Alternative	1 cup	6	170
Bananas (mashed)	1 cup	8	227
Barley (cooked)	1 cup	7 5/8	215
Barley (pearled)	1 cup	7 1/2	213
Barley flakes	1/2 cup	1 5/8	46
Barley flour	1 cup	3	85
Barley malt syrup	2 tablespoons	1 1/2	42
Basil pesto	2 table­spoons	1	28
Bell peppers (fresh)	1 cup	5	142
Berries (frozen)	1 cup	5	142
Better Cheddar Cheese Powder	1/2 cup	2	57
Blueberries (dried)	1 cup	5 1/2	156
Blueberries (fresh or frozen)	1 cup	5 to 6	140 to 170
Blueberry juice	1 cup	8 1/2	241
Boiled cider	1/4 cup	3	85
Bran cereal	1 cup	2 1/8	60
Breadcrumbs (dried)	1/4 cup	1	28
Breadcrumbs (fresh)	1/4 cup	3/4	21
Breadcrumbs (Japanese Panko)	1 cup	1 3/4	50
Bread Flour	1 cup	4 1/4	120
Brown rice (cooked)	1 cup	6	170
Brown rice flour	1 cup	4 1/2	128
Brown sugar (dark or light, packed)	1 cup	7 1/2	213
Buckwheat (whole)	1 cup	6	170
Buckwheat Flour	1 cup	4 1/4	120
Bulgur	1 cup	5 3/8	152
Butter	8 table­spoons (1/2 cup)	4	113
Buttermilk	1 cup	8	227
Buttermilk Biscuit Flour Blend	1 cup	3 7/8 	110
Buttermilk powder	2 tablespoons	2/3	18
Cacao nibs	1 cup	4 1/4	120
Cake Enhancer	2 table­spoons	1/2	14
Candied Lemon Peel	1/4 cup	1 1/3	37
Candied Orange Peel	1/4 cup	7/8	25
Caramel (14-16 individual pieces, 1" squares)	1/2 cup	5	142
Caramel bits (chopped Heath or toffee)	1 cup	5 1/2	156
Caraway seeds	2 table­spoons	5/8	18
Carrots (cooked and puréed)	1/2 cup	4 1/2	128
Carrots (diced)	1 cup	5	142
Carrots (grated)	1 cup	3 1/2	99
Cashews (chopped)	1 cup	4	113
Cashews (whole)	1 cup	4	113
Celery (diced)	1 cup	5	142
Cheese (Feta)	1/2 cup	2	57
Cheese (grated cheddar, jack, mozzarella, or Swiss)	1 cup	4	113
Cheese (grated Parmesan)	1/2 cup	1 3/4	50
Cheese (Ricotta)	1 cup	8	227
Cherries (candied)	1/4 cup	1 3/4	50
Cherries (dried)	1/2 cup	2 1/2	71
Cherries (fresh, pitted, chopped)	1/2 cup	2 7/8	80
Cherries (frozen)	1 cup	4	113
Cherry Concentrate	2 tablespoons	1 1/2	42
Chia seeds	1/4 cup	1 1/3	37
Chickpea flour	1 cup	3	85
Chives (fresh)	1/2 cup	3/4	21
Chocolate (chopped)	1 cup	6	170
Chocolate Chips	1 cup	6	170
Chocolate Chunks	1 cup	6	170
Chocolate Mousse Mix	1/4 cup	1	28
Cinnamon Sweet Bits	1/4 cup	1 1/4	35
Cinnamon-Sugar	1/4 cup	1 3/4	50
Climate Blend Flour	1 cup	4	115
Cocoa (unsweetened)	1/2 cup	1 1/2	42
Coconut (sweetened, shredded)	1 cup	3	85
Coconut (toasted)	1 cup	3	85
Coconut (unsweetened, desiccated)	1 cup	3	85
Coconut (unsweetened, large flakes)	1 cup	2 1/8	60
Coconut (unsweetened, shredded)	1 cup	1 7/8	53
Coconut cream (unsweetened)	1 cup 	10	284
Coconut Flour	1 cup	4 1/2	128
Coconut milk; canned, well shaken	1 cup	8 1/2	241
Coconut milk (evaporated)	1 cup 	8 1/2	242
Coconut Milk Powder	1/2 cup	2	57
Coconut oil	1/2 cup	4	113
Coconut sugar	1/2 cup	2 3/4	77
Confectioners' sugar (unsifted)	1 cup	4	113
Cookie butter	1/4 cup	2 1/2	72
Cookie crumbs	1 cup	3	85
Corn (fresh or frozen) 	1/4 cup	1 1/3	38
Corn (popped)	4 cups	3/4	21
Corn syrup	1 cup	11	312
Cornmeal (whole)	1 cup	4 7/8	138
Cornmeal (yellow, Quaker)	1 cup	5 1/2	156
Cornstarch	1/4 cup	1	28
Cottage cheese	1/2 cup	4	113
Cracked wheat	1 cup	5 1/4	149
Cranberries (dried)	1/2 cup	2	57
Cranberries (fresh or frozen)	1 cup	3 1/2	99
Cream (heavy cream, light cream, or half & half)	1 cup	8	227
Cream cheese	1 cup	8	227
Cream of coconut	1/2 cup	5	142
Crème fraiche	1/2 cup	4 1/3	124
Currants	1 cup	5	142
Dates (chopped)	1 cup	5 1/4	149
Demerara sugar	1 cup	7 3/4	220
Dried Blueberry Powder	1/4 cup	1	28
Dried milk (Baker's Special Dry Milk)	1/4 cup	1	28
Dried nonfat milk (powdered)	1/4 cup	1	28
Dried potato flakes (instant mashed potatoes)	1/2 cup	1 1/2	43
Dried whole milk (powdered)	1/2 cup	1 3/4	50
Durum Flour	1 cup	4 3/8	124
Easy Roll Dough Improver	2 table­spoons	5/8	18
Egg (fresh)	1 large	1 3/4	50
Egg white (fresh)	1 large	1 to 1 1/4	30 to 35
Egg whites (dried)	2 table­spoons	3/8	11
Egg yolk (fresh)	1 large	1/2	14
Espresso Powder	1 table­spoon	1/4	7
Everything Bagel Topping	1/4 cup	1 1/4	35
Figs (dried, chopped)	1 cup	5 1/4	149
First Clear Flour	1 cup	3 3/4	106
Flax meal	1/2 cup	1 3/4	50
Flaxseed	1/4 cup	1 1/4	35
Formaggio Italiano Cheese and Herb Blend	1/4 cup	1	30
French-Style Flour	1 cup	4 1/4	120
Fruitcake Fruit Blend	1 cup	4 1/4	120
Garlic (cloves, in skin for roasting)	1 large head	4	113
Garlic (minced)	2 table­spoons	1	28
Garlic (peeled and sliced)	1 cup	5 1/4	149
Ghee	1/4 cup	1 1/2	44
Ginger (fresh, sliced)	1/4 cup	2	57
Gluten-Free Pizza Flour	1 cup	3 1/2	100
Gluten-Free All-Purpose Baking Mix	1 cup	4 1/4	120
Gluten-Free All-Purpose Flour	1 cup	5 1/2	156
Gluten-Free Bread Flour	1 cup	4 1/4	120
Gluten-Free Measure for Measure Flour	1 cup	4 1/4	120
Gluten-Free sourdough starter (made with Gluten-Free Bread Flour)	1 cup	6 to 6 1/2	170 to 185
Gluten-Free sourdough starter (made with Gluten-Free Measure for Measure Flour)	1 cup	8 to 8 1/2	227 to 241
Glutinous rice flour	1 cup	4 1/4	120
Golden Wheat Flour	1 cup	4	113
Graham cracker crumbs (store-bought or crushed from whole)	1 cup (6 to 7 crackers)	3 1/2	100
Granola	1 cup	4	113
Grape Nuts	1/2 cup	2	57
Guava paste	1/4 cup	3 1/2	100
Harvest Grains Blend	1/2 cup	2 5/8	74
