"id","code","description"
"1","A","Analytical"
"2","AI","Analytical data; from the literature or  government;  incomplete documentation"
"3","AR","Analytical data; derived by linear regression"
"4","AS","Summed"
"5","BD","Based on same food; Drained solids from solids and liquids or vice versa (canned fruits and vegetables)"
"6","BFAN","Based on another form of the food or similar food; Concentration adjustment; Ash; Retention factors not used"
"7","BFAY","Based on another form of the food or similar food; Concentration adjustment; Ash; Retention factors used"
"8","BFCN","Based on another form of the food or similar food; Concentration adjustment; Carbohydrate; Retention factors not used"
"9","BFCY","Based on another form of the food or similar food; Concentration adjustment; Carbohydrate; Retention factors used"
"10","BFFN","Based on another form of the food or similar food; Concentration adjustment; Fat; Retention factors not used"
"11","BFFY","Based on another form of the food or similar food; Concentration adjustment; Fat; Retention factors used"
"12","BFNN","Based on another form of the food or similar food; Concentration adjustment; Non-fat solids; Retention factors not used"
"13","BFNY","Based on another form of the food or similar food; Concentration adjustment; Non-fat solids; Retentions factors used"
"14","BFPN","Based on another form of the food or similar food; Concentration adjustment; Protein; Retention factors not used"
"15","BFPY","Based on another form of the food or similar food; Concentration adjustment; Protein; Retention factors used"
"16","BFSN","Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors not used"
"17","BFSY","Based on another form of the food or similar food; Concentration adjustment; Solids; Retention factors used"
"18","BFYN","Based on another form of the food or similar food; Concentration adjustment; Yield; Retention factors not used"
"19","BFYY","Based on another form of the food or similar food; Concentration adjustment; Yield; Retention factors used"
"20","BFZN","Based on another form of the food or similar food; Concentration adjustment; No adjustment; Retention factors not used"
"21","BFZY","Based on another form of the food or similar food; Concentration adjustment; No adjustment; Retention factors used"
"22","BNA","Based on another form of the same food or similar food: constituents normalized to total; vitamin A"
"23","CAAN","Calculated from different food; From average values for food category; Ash; Retention factors not used"
"24","CAAY","Calculated from different food; From average values for food category; Ash; Retention factors used"
"25","CACN","Calculated from different food; From average values for food category; Carbohydrate; Retention factors not used"
"26","CACY","Calculated from different food; From average values for food category; Carbohydrate; Retention factors used"
"27","CAFN","Calculated from different food; From average values for food category; Fat; Retention factors not used"
"28","CAFY","Calculated from different food; From average values for food category; Fat; Retention factors used"
"29","CANN","Calculated from different food; From average values for food category; Non-fat solids; Retention factors not used"
"30","CANY","Calculated from different food; From average values for food category; Non-fat solids; Retention factors used"
"31","CAPN","Calculated from different food; From average values for food category; Protein; Retention factors not used"
"32","CAPY","Calculated from different food; From average values for food category; Protein; Retention factors used"
"33","CASN","Calculated from different food; From average values for food category; Solids; Retention factors not used"
